,,,,,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Typical Control Applicability and Ownership,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Architectural Relevance - GenAI Stack Components,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Lifecycle Relevance ,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Organizational Relevance,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category,Threat Category
Data Security and Privacy Lifecycle Management,Sensitive Data Protection,DSP-17,"Define and implement, processes, procedures and technical measures
to protect sensitive data throughout its lifecycle.
",Cloud & AI Related,Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage","Design, Guardrails","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring","Data deletion, Archiving",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Disclosure Notification,DSP-18,"The CSP must have in place, and describe to CSCs the procedure to manage and respond to requests for disclosure of Personal Data by Law Enforcement Authorities according to applicable laws and regulations. The CSP must give special attention to the notification procedure to interested CSCs, unless otherwise prohibited, such as a prohibition under criminal law to preserve confidentiality of a law enforcement investigation.",Cloud & AI Related,Owned by the Cloud Service Provider (CSP),Owned by the Cloud Service Provider (CSP),Owned by the Cloud Service Provider (CSP),Owned by the Cloud Service Provider (CSP),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,"Design, Guardrails","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring","Data deletion, Archiving",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Data Location,DSP-19,"Define and implement, processes, procedures and technical measures to specify and document the physical locations of data, including any locations in which data is processed or backed up.
",Cloud & AI Related,Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"Data collection, Data storage, Resource provisioning","Design, Guardrails","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring","Data deletion, Archiving",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Data Provenance and Transparency,DSP-20,"Define, implement and evaluate processes, procedures and technical measures to: 
1) Document and trace data sources, and 2) Make the data source available according to legal and regulatory requirements",Cloud & AI Related,Shared across the supply chain,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage",Design,Validation/Red Teaming,Orchestration,"Operations, Continuous improvement","Archiving, Data deletion",,,,,,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Data Poisoning Prevention & Detection,DSP-21,"Define, implement and evaluate processes, procedures and technical measures to: 
1) validate data sources
2) establish a baseline to capture characteristics of what data is expected 
3) determine and monitor the variations and deviations from the expected baseline. ",AI-Specific,Shared across the supply chain,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation","Training, Supply Chain","Validation/Red Teaming, Re-evaluation",AI Services supply chain,Continuous improvement,N/A,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Privacy Enhancing Technologies,DSP-22,"Based on risk and privacy impact analysis and business use cases, adopt Privacy Enhancing Technologies such as differential privacy, federated learning, etc.

Approved: Use Privacy Enhancing Technologies for training data, informed by risk and privacy impact analysis and business use cases",AI-Specific,Shared across the supply chain,Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage","Design, Training",Validation/Red Teaming,"AI Services supply chain, AI applications","Operations, Continuous improvement",N/A,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Data Security and Privacy Lifecycle Management,Data Integrity Check,DSP-23,Regularly validate the consistency and conformity of training/fine-tuning or augmentation data (e.g. data used RAG). Implement dataset versioning to ensure traceability and enforce restrictions to prevent unauthorized changes.,AI-Specific,Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),Owned by the Customer (AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data curation, Data storage","Training, Guardrails",Validation/Red Teaming,"Orchestration, AI Services supply chain","Operations, Continuous monitoring","Data deletion, Archiving",,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Data Security and Privacy Lifecycle Management,"Data Differentiation
and Relevance",DSP-24,"Enhance the variety in training datasets for AI models by including a broad spectrum of examples and scenarios to improve model robustness and fairness, reducing biases and improving performance.

Approved: Ensure that sufficient variety in training datasets for AI models while taking into consideration geographical, contextual, behavioural or functional settings of the inded use of the AI system. ",AI-Specific,Owned by the Customer (AIC),Owned by the Customer (AIC),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Owned by the Customer (AIC),FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data storage, Data curation","Design, Training, Guardrails","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Continuous monitoring, Continuous improvement","Data deletion, Archiving",,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Governance Program Policy and Procedures,GRC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for an information governance program, which is sponsored
by the leadership of the organization and related to AI systems as well. Review and update the policies and procedures
at least annually.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Team and expertise,Guardrails,"Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Risk Management Program,GRC-02,"Establish a formal, documented, and leadership-sponsored Enterprise
Risk Management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy risks.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,Guardrails,"Validation/Red Teaming, Evaluation","Orchestration, AI Services supply chain","Continuous monitoring, Continuous improvement, Operations, Maintenance",Data deletion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Organizational Policy Reviews,GRC-03,"Review all relevant organizational policies and associated procedures
at least annually or when a substantial change occurs within the organization.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,Guardrails,Evaluation,"Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Policy Exception Process,GRC-04,"Establish and follow an approved exception process as mandated by
the governance program whenever a deviation from an established policy occurs.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,Guardrails,Evaluation,"Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Information Security Program,GRC-05,"Develop and implement an Information Security Program, which includes
programs for all the relevant domains of the AI-CM.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,"Guardrails, Design","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Governance Responsibility Model,GRC-06,"Define and document roles and responsibilities for planning, implementing,
operating, assessing, and improving governance programs.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,Guardrails,"Validation/Red Teaming, Evaluation","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Information System Regulatory Mapping,GRC-07,"Identify and document all relevant standards, regulations, legal/contractual,
and statutory requirements, which are applicable to your organization.",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Team and expertise,Guardrails,"Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Special Interest Groups,GRC-08,"Establish and maintain contact with cloud-related special interest
groups and other relevant entities in line with business context.
",Cloud & AI Related,Shared Cloud Service Provider-Model Provider (Shared CSP-MP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,"Design, Guardrails","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Continuous monitoring, Maintenance","Data deletion, Archiving",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Governance, Risk and Compliance",Acceptable Use of the AI Service,GRC-09,"

Define, document and enforce policies and procedures on the acceptable use of AI services offered by the organization. Ensure effectiveness by continuous risk assessments, reviews and human oversight.",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Resource provisioning, Data collection","Design, Guardrails","Re-evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Continuous improvement, Continuous monitoring, Operations, Maintenance","Data deletion, Archiving",,,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"Governance, Risk and Compliance",AI Service Bill of Material (BOM),GRC-10,"
Define, implement, enforce, and evaluate a process for establishing a Bill of Material for the entire AI service supply chain, including the Model, the Orchestrated services and the (AI) Applications.  ",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Resource provisioning,"Design, Guardrails","Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Governance, Risk and Compliance",AI Impact Assessment,GRC-11,"Establish, document, and communicate to all relevant stakeholders an ongoing AI Impact Assessment process that evaluates the ethical, societal, operational, legal, and security impacts of the AI system throughout its lifecycle.  ",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,Guardrails,"Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Governance, Risk and Compliance",Bias and Fairness Assessment,GRC-12,"Regularly evaluate AI systems, models, datasets & algorithms for bias and fairness to ensure compliance with ethical standards.",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,Guardrails,"Evaluation, Validation/Red Teaming, Re-evaluation","AI applications, Orchestration","Operations, Maintenance, Continuous monitoring, Continuous improvement","Data deletion, Archiving",,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Ethics Committee,GRC-13,"Establish an ethics committee to review AI applications, ensuring alignment with ethical standards and organizational values. ",AI-Specific,Owned by the Customer (AIC),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Team and expertise,Guardrails,"Evaluation, Validation/Red Teaming","Orchestration, AI Services supply chain","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Governance, Risk and Compliance",Explainability Requirement,GRC-14,"
Establish, document, and communicate the degree of explainability needed 
for the AI Services.",AI-Specific,Owned by the Cloud Service Provider (CSP),Owned by the Model Provider (MP),Owned by the Orchestrated Service Provider (OSP),Owned by the Customer (AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Team and expertise","Design, Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"Governance, Risk and Compliance",Explainability Evaluation,GRC-15,"Evaluate, document, and communicate the degree of
explainability of the AI Services, including possible limitations 
and exceptions.",Cloud & AI Related,Owned by the Orchestrated Service Provider (OSP),Owned by the Model Provider (MP),Shared Model Provider-Orchestrated Service Provider (Shared MP-OSP),Shared Application Provider-AI Customer (Shared AP-AIC),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Data collection, Data curation, Data storage, Team and expertise","Design, Training, Guardrails, Supply Chain","Evaluation, Validation/Red Teaming, Re-evaluation","Orchestration, AI Services supply chain, AI applications","Operations, Maintenance, Continuous monitoring, Continuous improvement","Archiving, Data deletion, Model disposal",,,,,,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
